,title,title2,release_year,release_date,video_release_date,unknown,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Thriller,War,Western,imdb_id
424,Children of the Corn: The Gathering (1996),Children of the Corn: The Gathering,1996,01-Jan-1996,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0115885
425,Bob Roberts (1992),Bob Roberts,1992,01-Jan-1992,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0103850
426,"Transformers: The Movie, The (1986)",The Transformers: The Movie,1986,01-Jan-1986,,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,tt0092106
427,To Kill a Mockingbird (1962),To Kill a Mockingbird,1962,01-Jan-1962,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0056592
428,Harold and Maude (1971),Harold and Maude,1971,01-Jan-1971,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0067185
429,"Day the Earth Stood Still, The (1951)",The Day the Earth Stood Still,1951,01-Jan-1951,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,tt0970416
430,Duck Soup (1933),Duck Soup,1933,01-Jan-1933,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,tt0023969
431,Highlander (1986),Highlander,1986,01-Jan-1986,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0091203
432,Fantasia (1940),Fantasia,1940,01-Jan-1940,,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt0032455
433,Heathers (1989),Heathers,1989,01-Jan-1989,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2304672
434,Forbidden Planet (1956),Forbidden Planet,1956,01-Jan-1956,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,tt0049223
435,Butch Cassidy and the Sundance Kid (1969),Butch Cassidy and the Sundance Kid,1969,01-Jan-1969,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,tt0064115
436,"American Werewolf in London, An (1981)",An American Werewolf in London,1981,01-Jan-1981,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0082010
437,Amityville 1992: It's About Time (1992),Amityville 1992: It's About Time,1992,01-Jan-1992,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0103678
438,Amityville 3-D (1983),Amityville 3-D,1983,01-Jan-1983,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0085159
439,Amityville: A New Generation (1993),Amityville: A New Generation,1993,01-Jan-1993,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0106262
440,Amityville II: The Possession (1982),Amityville II: The Possession,1982,01-Jan-1982,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0083550
441,"Amityville Horror, The (1979)",The Amityville Horror,1979,01-Jan-1979,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0078767
442,"Amityville Curse, The (1990)",The Amityville Curse,1990,01-Jan-1990,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0099030
443,"Birds, The (1963)",The Birds,1963,01-Jan-1963,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0056869
444,"Blob, The (1958)",The Blob,1958,01-Jan-1958,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,tt4526666
445,"Body Snatcher, The (1945)",The Body Snatcher,1945,01-Jan-1945,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt4810784
446,Burnt Offerings (1976),Burnt Offerings,1976,01-Jan-1976,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0074258
447,Carrie (1976),Carrie,1976,01-Jan-1976,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0074285
448,"Omen, The (1976)",The Omen,1976,01-Jan-1976,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0075005
449,Star Trek: The Motion Picture (1979),Star Trek: The Motion Picture,1979,01-Jan-1979,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,tt0079945
450,Star Trek V: The Final Frontier (1989),Star Trek V: The Final Frontier,1989,01-Jan-1989,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,tt0098382
451,Grease (1978),Grease,1978,01-Jan-1978,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,tt0077631
452,Jaws 2 (1978),Jaws 2,1978,01-Jan-1978,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0077766
453,Jaws 3-D (1983),Jaws 3-D,1983,01-Jan-1983,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0085750
454,Bastard Out of Carolina (1996),Bastard Out of Carolina,1996,15-Dec-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0115633
455,Jackie Chan's First Strike (1996),Jackie Chan's First Strike,1996,10-Jan-1997,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0116704
456,Beverly Hills Ninja (1997),Beverly Hills Ninja,1997,17-Jan-1997,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0118708
457,Free Willy 3: The Rescue (1997),Free Willy 3: The Rescue,1997,08-Aug-1997,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0119152
458,Nixon (1995),Nixon,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0113987
459,"Cry, the Beloved Country (1995)",the Beloved Country Cry,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0112749
460,"Crossing Guard, The (1995)",The Crossing Guard,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt6149508
461,Smoke (1995),Smoke,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0114478
462,Like Water For Chocolate (Como agua para chocolate) (1992),Like Water For Chocolate,1992,01-Jan-1992,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,tt0103994
463,"Secret of Roan Inish, The (1994)",The Secret of Roan Inish,1994,01-Jan-1994,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0111112
464,Vanya on 42nd Street (1994),Vanya on 42nd Street,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0111590
465,"Jungle Book, The (1994)",The Jungle Book,1994,01-Jan-1994,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tt5511296
466,Red Rock West (1992),Red Rock West,1992,01-Jan-1992,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tt0105226
467,"Bronx Tale, A (1993)",A Bronx Tale,1993,01-Jan-1993,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0106489
468,Rudy (1993),Rudy,1993,01-Jan-1993,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0108002
469,Short Cuts (1993),Short Cuts,1993,01-Jan-1993,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0108122
470,Tombstone (1993),Tombstone,1993,01-Jan-1993,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tt0108358
471,Courage Under Fire (1996),Courage Under Fire,1996,08-Mar-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,tt0115956
472,Dragonheart (1996),Dragonheart,1996,31-May-1996,,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt0116136
473,James and the Giant Peach (1996),James and the Giant Peach,1996,12-Apr-1996,,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt0116683
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1963,01-Jan-1963,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,tt0057012
475,Trainspotting (1996),Trainspotting,1996,19-Jul-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0117951
476,"First Wives Club, The (1996)",The First Wives Club,1996,14-Sep-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0116313
477,Matilda (1996),Matilda,1996,02-Aug-1996,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0117008
478,"Philadelphia Story, The (1940)",The Philadelphia Story,1940,01-Jan-1940,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0032904
479,Vertigo (1958),Vertigo,1958,01-Jan-1958,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,tt0052357
480,North by Northwest (1959),North by Northwest,1959,01-Jan-1959,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,tt0053125
481,"Apartment, The (1960)",The Apartment,1960,01-Jan-1960,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,tt1819509
482,Some Like It Hot (1959),Some Like It Hot,1959,01-Jan-1959,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,tt0053291
483,Casablanca (1942),Casablanca,1942,01-Jan-1942,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,tt0034583
484,"Maltese Falcon, The (1941)",The Maltese Falcon,1941,01-Jan-1941,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,tt0033870
485,My Fair Lady (1964),My Fair Lady,1964,01-Jan-1964,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,tt0058385
486,Sabrina (1954),Sabrina,1954,01-Jan-1954,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0047437
487,Roman Holiday (1953),Roman Holiday,1953,01-Jan-1953,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0046250
488,Sunset Blvd. (1950),Sunset Blvd.,1950,01-Jan-1950,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0043014
489,Notorious (1946),Notorious,1946,01-Jan-1946,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,tt0038787
490,To Catch a Thief (1955),To Catch a Thief,1955,01-Jan-1955,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,tt0048728
491,"Adventures of Robin Hood, The (1938)",The Adventures of Robin Hood,1938,01-Jan-1938,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0029843
492,East of Eden (1955),East of Eden,1955,01-Jan-1955,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0048028
493,"Thin Man, The (1934)",The Thin Man,1934,01-Jan-1934,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,tt0025878
494,His Girl Friday (1940),His Girl Friday,1940,01-Jan-1940,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0032599
495,Around the World in 80 Days (1956),Around the World in 80 Days,1956,01-Jan-1956,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0048960
496,It's a Wonderful Life (1946),It's a Wonderful Life,1946,01-Jan-1946,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0038650
497,Bringing Up Baby (1938),Bringing Up Baby,1938,01-Jan-1938,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0029947
498,"African Queen, The (1951)",The African Queen,1951,01-Jan-1951,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,tt6558218
499,Cat on a Hot Tin Roof (1958),Cat on a Hot Tin Roof,1958,01-Jan-1958,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0051459
500,Fly Away Home (1996),Fly Away Home,1996,13-Sep-1996,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0116329
501,Dumbo (1941),Dumbo,1941,01-Jan-1941,,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt0033563
502,Bananas (1971),Bananas,1971,01-Jan-1971,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,tt0066808
503,"Candidate, The (1972)",The Candidate,1972,01-Jan-1972,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0068334
504,Bonnie and Clyde (1967),Bonnie and Clyde,1967,01-Jan-1967,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,tt0061418
505,Dial M for Murder (1954),Dial M for Murder,1954,01-Jan-1954,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,tt0046912
506,Rebel Without a Cause (1955),Rebel Without a Cause,1955,01-Jan-1955,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0048545
507,"Streetcar Named Desire, A (1951)",A Streetcar Named Desire,1951,01-Jan-1951,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0044081
508,"People vs. Larry Flynt, The (1996)",The People vs. Larry Flynt,1996,27-Dec-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0117318
509,My Left Foot (1989),My Left Foot,1989,01-Jan-1989,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0097937
510,"Magnificent Seven, The (1954)",The Magnificent Seven,1954,01-Jan-1954,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,tt2404435
511,Lawrence of Arabia (1962),Lawrence of Arabia,1962,01-Jan-1962,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,tt0056172
512,Wings of Desire (1987),Wings of Desire,1987,01-Jan-1987,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,tt0093191
513,"Third Man, The (1949)",The Third Man,1949,01-Jan-1949,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,tt0041959
514,Annie Hall (1977),Annie Hall,1977,01-Jan-1977,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0075686
515,"Boot, Das (1981)",Das Boot,1981,04-Apr-1997,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,tt0082096
516,Local Hero (1983),Local Hero,1983,01-Jan-1983,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0085859
517,Manhattan (1979),Manhattan,1979,01-Jan-1979,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,tt0079522
518,Miller's Crossing (1990),Miller's Crossing,1990,01-Jan-1990,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0100150
519,"Treasure of the Sierra Madre, The (1948)",The Treasure of the Sierra Madre,1948,01-Jan-1948,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0040897
520,"Great Escape, The (1963)",The Great Escape,1963,01-Jan-1963,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,tt1543921
521,"Deer Hunter, The (1978)",The Deer Hunter,1978,01-Jan-1978,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,tt0077416
522,Down by Law (1986),Down by Law,1986,01-Jan-1986,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0090967
523,Cool Hand Luke (1967),Cool Hand Luke,1967,01-Jan-1967,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0061512
524,"Great Dictator, The (1940)",The Great Dictator,1940,01-Jan-1940,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt6808206
525,"Big Sleep, The (1946)",The Big Sleep,1946,01-Jan-1946,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,tt0038355
526,Ben-Hur (1959),Ben-Hur,1959,01-Jan-1959,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0052618
527,Gandhi (1982),Gandhi,1982,01-Jan-1982,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0083987
528,"Killing Fields, The (1984)",The Killing Fields,1984,01-Jan-1984,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,tt1217261
529,My Life as a Dog (Mitt liv som hund) (1985),My Life as a Dog,1985,01-Jan-1985,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0089606
530,"Man Who Would Be King, The (1975)",The Man Who Would Be King,1975,01-Jan-1975,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0073341
531,Shine (1996),Shine,1996,22-Nov-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,tt0117631
532,Kama Sutra: A Tale of Love (1996),Kama Sutra: A Tale of Love,1996,07-Mar-1997,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0116743
533,"Daytrippers, The (1996)",The Daytrippers,1996,21-Mar-1997,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,tt0116041
534,Traveller (1997),Traveller,1997,18-Apr-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0120366
535,Addicted to Love (1997),Addicted to Love,1997,23-May-1997,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0118556
536,Ponette (1996),Ponette,1996,23-May-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0117359
537,My Own Private Idaho (1991),My Own Private Idaho,1991,01-Jan-1991,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0102494
538,Anastasia (1997),Anastasia,1997,01-Jan-1997,,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt0118617
539,Mouse Hunt (1997),Mouse Hunt,1997,01-Jan-1997,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0119715
540,Money Train (1995),Money Train,1995,01-Jan-1995,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0113845
541,Mortal Kombat (1995),Mortal Kombat,1995,01-Jan-1995,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0113855
542,Pocahontas (1995),Pocahontas,1995,01-Jan-1995,,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,tt0114148
543,"Misérables, Les (1995)",Les Misérables,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,tt0113828
544,Things to Do in Denver when You're Dead (1995),Things to Do in Denver when You're Dead,1995,02-Feb-1996,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,tt0114660
545,Vampire in Brooklyn (1995),Vampire in Brooklyn,1995,01-Jan-1995,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0114825
546,Broken Arrow (1996),Broken Arrow,1996,09-Feb-1996,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tt0115759
547,"Young Poisoner's Handbook, The (1995)",The Young Poisoner's Handbook,1995,23-Feb-1996,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,tt0115033
548,"NeverEnding Story III, The (1994)",The NeverEnding Story III,1994,02-Feb-1996,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt0110647
549,Rob Roy (1995),Rob Roy,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,tt0114287
550,Die Hard: With a Vengeance (1995),Die Hard: With a Vengeance,1995,01-Jan-1995,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tt0112864
551,Lord of Illusions (1995),Lord of Illusions,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0113690
552,Species (1995),Species,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,tt0114508
553,"Walk in the Clouds, A (1995)",A Walk in the Clouds,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,tt0114887
554,Waterworld (1995),Waterworld,1995,01-Jan-1995,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0114898
555,White Man's Burden (1995),White Man's Burden,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0114928
556,Wild Bill (1995),Wild Bill,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tt0114938
557,Farinelli: il castrato (1994),Farinelli: il castrato,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,tt0109771
558,Heavenly Creatures (1994),Heavenly Creatures,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,tt0110005
559,Interview with the Vampire (1994),Interview with the Vampire,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,tt2218428
560,"Kid in King Arthur's Court, A (1995)",A Kid in King Arthur's Court,1995,01-Jan-1995,,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,tt0113538
561,Mary Shelley's Frankenstein (1994),Mary Shelley's Frankenstein,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,tt0109836
562,"Quick and the Dead, The (1995)",The Quick and the Dead,1995,01-Jan-1995,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tt7221904
563,Stephen King's The Langoliers (1995),Stephen King's The Langoliers,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0112040
564,Tales from the Hood (1995),Tales from the Hood,1995,01-Jan-1995,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,tt0114609
565,Village of the Damned (1995),Village of the Damned,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,tt0114852
566,Clear and Present Danger (1994),Clear and Present Danger,1994,01-Jan-1994,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tt0109444
567,Wes Craven's New Nightmare (1994),Wes Craven's New Nightmare,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt4992088
568,Speed (1994),Speed,1994,01-Jan-1994,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,tt0111257
569,Wolf (1994),Wolf,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,tt0111742
570,Wyatt Earp (1994),Wyatt Earp,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tt0111756
571,Another Stakeout (1993),Another Stakeout,1993,01-Jan-1993,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,tt0106292
572,Blown Away (1994),Blown Away,1994,01-Jan-1994,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tt0109303
573,Body Snatchers (1993),Body Snatchers,1993,01-Jan-1993,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,tt0106452
574,Boxing Helena (1993),Boxing Helena,1993,01-Jan-1993,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,tt0106471
575,City Slickers II: The Legend of Curly's Gold (1994),City Slickers II: The Legend of Curly's Gold,1994,01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,tt0109439
576,Cliffhanger (1993),Cliffhanger,1993,01-Jan-1993,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,tt0106582
577,Coneheads (1993),Coneheads,1993,01-Jan-1993,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,tt0106598
578,Demolition Man (1993),Demolition Man,1993,01-Jan-1993,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,tt0106697
579,Fatal Instinct (1993),Fatal Instinct,1993,01-Jan-1993,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0106873
580,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)","But Came Down a Mountain, The Englishman Who Went Up a Hill",1995,01-Jan-1995,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0112966
581,Kalifornia (1993),Kalifornia,1993,01-Jan-1993,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,tt0107302
582,"Piano, The (1993)",The Piano,1993,01-Jan-1993,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,tt0107822
583,Romeo Is Bleeding (1993),Romeo Is Bleeding,1993,01-Jan-1993,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,tt0107983
584,"Secret Garden, The (1993)",The Secret Garden,1993,01-Jan-1993,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt1596204
585,Son in Law (1993),Son in Law,1993,01-Jan-1993,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0108186
586,Terminal Velocity (1994),Terminal Velocity,1994,01-Jan-1994,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0111400
587,"Hour of the Pig, The (1993)",The Hour of the Pig,1993,01-Jan-1993,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,tt0107146
588,Beauty and the Beast (1991),Beauty and the Beast,1991,01-Jan-1991,,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt0101414
589,"Wild Bunch, The (1969)",The Wild Bunch,1969,01-Jan-1969,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tt0065214
590,Hellraiser: Bloodline (1996),Hellraiser: Bloodline,1996,08-Mar-1996,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,tt0116514
591,Primal Fear (1996),Primal Fear,1996,30-Mar-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,tt0117381
592,True Crime (1995),True Crime,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,tt0114736
593,Stalingrad (1993),Stalingrad,1993,01-Jan-1993,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,tt0108211
594,Heavy (1995),Heavy,1995,05-Jun-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,tt0113280
